LatitudeMeasure,LongitudeMeasure,MonitoringLocationIdentifier,Elev_m
40.97398,-111.87186,UTAHDWQ_WQX-4990365,1468.51
40.99165,-111.88009,UTAHDWQ_WQX-4990368,1437.95
40.96661,-111.87251,UTAHDWQ_WQX-4990370,1469.24
40.92324,-111.86486,UTAHDWQ_WQX-4990376,1414.77
40.93189,-111.87105,UTAHDWQ_WQX-4990380,1368.01
40.93925,-111.87636,UTAHDWQ_WQX-4990415,1336.46
40.56045,-111.52809,UTAHDWQ_WQX-4990473,2050.9
40.56059,-111.52781,UTAHDWQ_WQX-4990475,2049.56
40.89308,-111.85271,UTAHDWQ_WQX-4990620,1472.79
40.90939,-111.91105,UTAHDWQ_WQX-4990640,1286.03
40.88089,-111.84282,UTAHDWQ_WQX-4990650,1550.93
40.84629,-111.85336,UTAHDWQ_WQX-4990996,1694.99
40.84629,-111.85336,UTAHDWQ_WQX-4990997,1694.99
40.7919,-111.87785,UTAHDWQ_WQX-4991930,1428.24
40.78134,-111.88436,UTAHDWQ_WQX-4991938,1372.82
40.81531,-111.83063,UTAHDWQ_WQX-4991950,1628.83
40.74718,-111.84449,UTAHDWQ_WQX-4992087,1399.58
40.73021,-111.85662,UTAHDWQ_WQX-4992135,1336.29
40.74985,-111.8078,UTAHDWQ_WQX-4992141,1500.78
40.78703,-111.71632,UTAHDWQ_WQX-4992162,1776.02
40.7619,-111.70826,UTAHDWQ_WQX-4992170,1683.31
40.71273,-111.81307,UTAHDWQ_WQX-4992240,1401.19
40.70453,-111.87859,UTAHDWQ_WQX-4992560,1296.99
40.68911,-111.78771,UTAHDWQ_WQX-4992630,1522.13
40.67995,-111.90577,UTAHDWQ_WQX-4992970,1295.36
40.61856,-111.78136,UTAHDWQ_WQX-4993100,1525.3
40.66633,-111.9066,UTAHDWQ_WQX-4993580,1297.98
40.5785,-111.7972,UTAHDWQ_WQX-4993650,1550.28
40.36856,-111.83549,UTAHDWQ_WQX-4994950,1373.51
40.0269,-111.50408,UTAHDWQ_WQX-4995640,1512.87
40.0812,-111.36328,UTAHDWQ_WQX-4995670,1670.82
40.07624,-111.38337,UTAHDWQ_WQX-4995690,1644.28
40.11718,-111.31212,UTAHDWQ_WQX-4995700,2034.63
40.08468,-111.35518,UTAHDWQ_WQX-4995710,1684.13
40.11773,-111.31517,UTAHDWQ_WQX-4995720,1954.56
40.08412,-111.35462,UTAHDWQ_WQX-4995730,1697.99
40.16107,-111.25073,UTAHDWQ_WQX-4995780,2276.87
40.184,-111.64727,UTAHDWQ_WQX-4996100,1370.35
40.18558,-111.61883,UTAHDWQ_WQX-4996310,1375.89
40.19953,-111.63104,UTAHDWQ_WQX-4996450,1371.88
40.2369,-111.7316,UTAHDWQ_WQX-4996680,1367.69
40.32634,-111.64215,UTAHDWQ_WQX-4996780,1492.17
40.34773,-111.5902,UTAHDWQ_WQX-4996810,1577.57
40.35273,-111.57019,UTAHDWQ_WQX-4996830,1603.08
40.3644,-111.55686,UTAHDWQ_WQX-4996850,1590.78
40.40329,-111.53047,UTAHDWQ_WQX-4996870,1617.74
40.38943,-111.43126,UTAHDWQ_WQX-4996880,1707.91
40.40303,-111.52966,UTAHDWQ_WQX-4996890,1611.82
40.38968,-111.43158,UTAHDWQ_WQX-4996900,1707.15
40.38611,-111.43482,UTAHDWQ_WQX-4996905,1708.96
40.38611,-111.43482,UTAHDWQ_WQX-4996906,1708.96
40.37551,-111.42463,UTAHDWQ_WQX-4996910,1735.75
40.34743,-111.40267,UTAHDWQ_WQX-4996913,1863.85
40.34214,-111.41008,UTAHDWQ_WQX-4996915,1903.67
40.3794,-111.4213,UTAHDWQ_WQX-4996920,1733.19
40.33445,-111.37876,UTAHDWQ_WQX-4996925,1948.07
40.53685,-111.48562,UTAHDWQ_WQX-4996950,1753.76
40.51456,-111.48367,UTAHDWQ_WQX-4997198,1703.59
40.51456,-111.48367,UTAHDWQ_WQX-4997199,1703.59
40.51899,-111.48768,UTAHDWQ_WQX-4997238,1735.17
40.5235,-111.48196,UTAHDWQ_WQX-4997243,1723.85
40.5266,-111.48485,UTAHDWQ_WQX-4997245,1737.42
40.50024,-111.44467,UTAHDWQ_WQX-4997250,1674.65
40.50024,-111.44467,UTAHDWQ_WQX-4997251,1674.65
40.5114,-111.42485,UTAHDWQ_WQX-4997264,1690.28
40.51426,-111.42748,UTAHDWQ_WQX-4997268,1686.69
40.52176,-111.43751,UTAHDWQ_WQX-4997272,1694.44
40.52186,-111.43162,UTAHDWQ_WQX-4997274,1695.95
40.51523,-111.42296,UTAHDWQ_WQX-4997280,1690.75
40.52205,-111.41619,UTAHDWQ_WQX-4997283,1694.97
40.52045,-111.41079,UTAHDWQ_WQX-4997285,1698.83
40.54427,-111.43214,UTAHDWQ_WQX-4997289,1722.43
40.54421,-111.42632,UTAHDWQ_WQX-4997293,1723.86
40.55684,-111.42565,UTAHDWQ_WQX-4997298,1741.76
40.55412,-111.43158,UTAHDWQ_WQX-4997300,1733.68
40.5721,-111.4284,UTAHDWQ_WQX-4997314,1758.84
40.59495,-111.42714,UTAHDWQ_WQX-4997330,1790.13
40.61708,-111.43213,UTAHDWQ_WQX-4997675,1900.36
40.60107,-111.3313,UTAHDWQ_WQX-4998115,1896.77
40.60107,-111.3313,UTAHDWQ_WQX-4998117,1896.77
40.60192,-111.34101,UTAHDWQ_WQX-4998130,1885.59
40.60995,-111.30518,UTAHDWQ_WQX-4998140,1929.22
40.55773,-111.16878,UTAHDWQ_WQX-4998400,2123.56
40.55712,-111.13076,UTAHDWQ_WQX-4998480,2185.58
40.59225,-110.99859,UTAHDWQ_WQX-4999000,2476.02
40.38745,-111.54528,UTAHDWQ_WQX-4999505,1593.79
40.55858,-111.1738,UTAHDWQ_WQX-4999516,2117.43
40.46135,-111.47157,UTAHDWQ_WQX-5910020,1655.01
40.4821,-111.4706,UTAHDWQ_WQX-5910160,1652.26
40.4821,-111.4706,UTAHDWQ_WQX-5910162,1652.26
40.5144,-111.42769,UTAHDWQ_WQX-5910210,1686.87
40.50717,-111.44963,UTAHDWQ_WQX-5910250,1674.16
40.52178,-111.41605,UTAHDWQ_WQX-5910273,1694.85
40.38635,-111.4224,UTAHDWQ_WQX-5910280,1722.52
